age,income,loanamount,monthsemployed,interestrate
32,131645,43797,23,6.1
61,134312,18402,87,12.99
55,115809,151774,3,5.51
58,94970,55789,24,23.93
63,71727,189798,52,22.05
64,43593,196031,89,19.75
40,72699,32179,82,6.45
45,32150,101882,107,12.82
24,128139,11560,105,22.84
53,134889,172152,2,13.28
50,129842,140282,79,17.41
36,23069,164946,73,9.29
31,15786,62930,76,14.55
45,118924,230511,40,20.65
30,93545,29417,46,14.28
48,29627,188731,77,24.33
20,124896,244687,13,4.27
35,32707,67960,87,4.06
28,73369,188953,44,21.94
65,65892,25926,87,5.17
32,32866,150201,34,15.85
65,86605,31274,53,19.38
29,30067,55664,33,14.85
48,90095,50983,35,19.77
56,104333,133555,112,9.23
59,100417,237928,58,17.77
43,70182,178512,97,19.35
43,115718,87846,110,24.77
37,104984,112548,54,16.61
27,54975,235455,31,14.81
57,100852,30086,30,23.47
65,46773,72632,30,9.35
49,94785,162755,75,24.29
22,127087,173703,44,7.76
60,66272,127300,69,6.25
32,47796,202796,77,11.58
31,83113,240974,33,7.56
34,82794,5452,1,7.48
69,96025,208687,60,12.2
24,95645,19779,54,8.57
18,111653,210460,22,4.5
38,23872,201309,1,15.9
24,24643,163863,101,21.59
29,47839,181280,104,18.41
25,115105,44444,100,22.49
54,70916,51922,26,8.52
59,92051,148182,30,3.22
62,134335,117244,29,19.81
68,24322,29429,60,20.58
20,146922,229238,20,24.14
18,142489,132522,66,19.54
57,18096,136658,34,24.31
21,143171,155075,6,18.73
41,77763,29115,11,24.47
61,15953,194335,0,10.79
55,118353,125505,47,10.72
63,68424,240046,92,20.61
42,51700,177957,109,24.96
49,45753,139888,93,21.12
61,117779,69259,33,13.1
22,114036,40911,94,9.72
61,66762,116308,69,21.95
62,89197,23382,106,16.73
33,77355,121769,24,19.68
64,103816,61638,68,12.34
42,142245,79297,81,8.4
58,139878,137440,39,6.86
45,30819,188934,25,16.0
69,141693,106928,72,19.52
41,142694,77153,21,11.11
35,18687,176185,36,11.69
19,51049,174519,112,4.36
34,92163,173236,22,4.9
35,139249,94913,40,6.36
52,127654,52723,79,2.34
53,15497,76520,73,19.92
39,112728,249149,83,23.68
19,31855,49793,88,17.27
60,43713,33424,57,21.29
62,135146,15745,31,9.75
55,26651,136416,84,22.42
49,64598,162056,24,13.72
32,109245,126912,3,10.39
35,68632,87320,26,3.79
33,78692,196815,89,19.54
56,145890,90861,31,4.38
53,48909,218473,76,11.62
25,86402,214965,104,14.65
36,125692,88234,111,9.46
31,32394,200997,9,9.0
67,39266,12222,27,11.44
54,112186,142030,10,17.8
42,111032,221974,18,9.88
57,49807,242656,62,15.91
19,75277,54433,21,18.24
40,79599,86500,85,15.88
66,130721,44165,111,8.63
33,106807,132376,66,15.93
37,90152,150231,116,9.53
49,110419,218729,57,19.98
37,143482,20965,23,13.51
52,19634,19358,21,7.44
29,20139,119854,10,23.33
50,128349,120685,107,23.92
28,73374,88436,20,4.57
41,140644,215488,88,12.51
66,39250,72749,86,2.76
38,91866,58309,45,8.27
53,142089,224387,102,16.85
26,31905,92572,4,7.0
25,143760,137539,98,10.84
69,117180,37281,10,12.96
69,27359,158349,73,23.35
49,80898,52592,113,6.11
45,134503,87339,80,11.08
35,78939,232991,115,8.76
25,17061,84367,20,24.82
32,42328,124946,15,10.42
65,145313,199083,10,8.46
53,89128,103751,4,2.01
21,103633,235154,6,14.5
22,134374,182553,62,10.13
57,22569,235222,42,18.78
26,61114,76819,45,14.65
34,111849,169560,23,18.41
43,136183,207713,73,12.9
55,125169,74413,73,5.95
33,39020,148460,12,10.1
18,18881,181887,36,14.41
21,148621,161483,21,22.89
19,82740,239209,46,15.52
20,75495,224819,96,21.51
59,27084,132151,63,6.93
59,33318,38177,106,24.75
68,75950,11058,54,5.65
42,115828,211018,94,3.41
65,123002,19944,80,16.92
66,38135,212183,10,2.31
58,102504,190177,15,7.39
35,48384,171812,103,12.53
68,125740,68365,47,20.22
19,81949,86938,44,9.06
69,135896,51681,34,7.51
39,41647,194787,82,7.5
37,114160,203031,117,11.2
43,22376,237202,104,4.05
62,113331,216878,44,18.8
26,55855,111884,52,13.56
67,135490,61084,46,24.08
45,95069,136687,11,3.73
64,117414,124262,71,23.8
36,95116,184799,72,18.3
27,56200,215435,89,5.0
18,17195,188250,88,6.46
44,38891,75484,117,15.61
45,21563,39479,9,12.49
63,111559,168195,74,12.84
40,64293,177322,53,9.44
62,56034,122167,72,22.16
43,98913,130338,15,24.23
21,59221,216087,39,17.69
29,70391,17200,81,15.13
43,133830,18962,85,17.27
69,139575,91876,79,16.36
55,44929,238360,26,20.3
57,46883,64426,103,6.99
26,63622,238203,116,5.58
19,149465,24242,8,10.34
49,85054,248203,110,23.09
62,110154,85962,115,2.42
25,54275,115178,29,2.97
27,122964,68932,95,13.42
31,57528,15513,62,13.26
24,109115,49543,75,20.51
23,111861,101735,100,11.41
65,37276,110930,49,21.44
44,41804,234599,88,17.9
23,80990,184464,23,10.6
26,142217,99097,51,12.97
69,75315,31724,48,4.74
39,81544,73793,54,13.19
47,56730,247329,93,21.08
44,96876,74716,65,14.73
19,115454,167703,86,12.13
49,91236,76757,102,13.29
40,80699,25820,85,10.82
18,104129,15163,10,13.3
19,22186,156164,90,9.83
50,111096,153025,34,4.48
41,108552,229359,1,17.78
38,128109,221880,44,19.24
62,41590,39489,3,3.24
29,81037,104315,63,17.46
56,72818,185304,31,22.32
30,128219,148477,30,11.39
60,91708,64706,36,21.11
51,56158,115242,82,7.37
48,118105,229706,30,17.36
23,144920,114488,69,8.11
31,128819,169828,3,9.2
51,135801,63201,73,18.65
61,59595,47627,38,14.48
28,131525,194137,62,7.75
66,17576,99649,83,7.43
33,139741,212007,76,9.84
36,140812,65128,60,15.45
28,140367,217016,81,7.26
26,97361,218757,87,18.04
42,43322,36395,112,2.11
23,20414,137846,33,18.19
61,19734,89961,34,12.46
55,139868,195255,5,20.77
61,39204,83851,55,7.89
67,64554,235179,64,24.22
52,31529,62143,24,9.03
64,64211,248802,3,21.17
66,25129,237743,33,3.69
36,84062,187001,40,13.22
67,92135,197068,27,14.0
31,103111,202766,62,14.65
66,138436,21306,55,4.58
23,31937,101647,110,3.71
20,51402,153331,90,13.74
20,133213,7719,81,11.0
61,79466,73747,53,11.4
22,128761,156811,38,8.61
38,65735,143996,95,11.78
30,61749,108872,118,24.68
57,80432,154106,28,2.45
66,119638,34709,50,21.12
67,39697,238508,71,19.06
22,118753,221089,21,19.45
53,86809,121989,8,18.26
35,134526,44855,116,14.64
53,42851,182964,58,15.24
42,139471,58982,106,22.02
45,127339,50959,52,3.58
40,101818,165250,25,5.55
42,102777,246840,92,13.72
61,75280,67379,59,13.42
49,136905,168452,79,7.61
43,109672,207378,77,16.15
31,127701,109501,6,8.24
35,64054,190675,24,3.29
23,61060,220677,80,4.12
41,111501,234162,20,23.31
22,114088,141545,80,16.72
44,87259,66154,118,3.08
31,102099,177850,109,3.4
38,103103,69912,20,16.51
38,39313,25420,30,13.57
47,122503,152632,30,19.8
19,36687,32678,12,2.36
34,61827,99401,75,15.07
38,19978,128955,48,6.84
27,113484,12014,114,14.9
54,121419,74813,83,20.82
47,146037,124017,89,14.5
23,97873,192970,22,21.7
31,25307,185162,0,8.79
42,83415,157935,68,4.78
23,64193,105424,32,11.12
39,62553,236654,100,19.54
55,50322,105432,108,14.44
67,101111,46182,94,7.79
35,40470,57766,27,4.97
22,79083,138703,44,6.57
26,142411,223808,36,13.92
37,100076,52696,55,24.29
55,26616,226234,57,8.97
35,24073,203257,2,6.09
24,94182,60700,80,23.18
67,88148,201359,46,8.99
60,100359,185426,39,5.97
67,85856,57304,109,15.15
33,80723,108449,58,24.28
22,80622,18959,59,15.15
19,17658,180705,92,17.46
60,139443,57815,97,2.03
32,61222,234379,102,18.51
48,137694,170104,86,5.44
63,49843,209871,95,17.56
62,123575,103374,26,21.57
23,148702,172434,61,20.93
38,108891,176685,83,21.39
32,73324,99800,67,17.49
41,29462,181611,101,13.71
33,58444,20495,114,21.09
34,22992,226223,39,16.57
55,34556,235961,21,11.41
44,47003,25423,55,7.29
20,83883,46254,84,18.26
48,95411,236784,56,13.09
40,80790,14150,81,21.02
26,111153,74851,84,24.99
60,67960,87198,38,12.47
30,114268,143010,81,5.36
56,103489,219924,69,9.24
32,76872,163015,54,11.07
40,39397,171467,98,14.6
52,74147,25073,112,17.11
51,47489,6569,116,12.42
59,21884,17863,68,21.65
35,122512,29907,24,16.49
34,143374,39752,66,4.26
54,112770,57661,77,3.13
48,42711,189146,50,10.04
57,22516,32540,108,21.86
47,97662,237617,59,6.19
43,107567,123676,53,3.11
31,78192,90716,81,20.24
65,63961,17705,18,15.96
53,39160,204541,4,2.99
56,39900,64307,66,15.09
19,138405,17627,82,19.39
29,29644,109196,83,10.39
48,30597,113338,84,4.67
36,26280,211835,117,8.1
29,47903,79028,11,3.83
68,101965,81278,115,23.07
27,96794,142177,3,24.84
64,29708,43572,50,18.74
56,26622,174824,59,4.9
69,24281,148532,67,20.78
36,71834,165107,88,15.16
50,33770,135213,104,10.83
63,149896,100788,53,14.68
27,45431,89940,108,24.79
24,83047,202516,63,20.21
57,100466,103497,18,6.67
27,53654,188646,25,14.72
24,133638,197927,68,21.11
41,96983,94882,89,3.3
27,61978,210822,45,19.9
50,107314,131965,57,24.52
29,56243,118594,7,17.1
43,120665,178434,23,15.57
57,29610,212509,5,14.37
67,71587,206635,32,13.33
38,30209,10581,79,19.37
36,142369,232687,94,14.16
54,30768,156914,14,23.12
55,70675,87153,72,21.66
29,94245,190669,15,4.78
65,110432,184572,101,18.29
31,59303,99397,115,11.95
36,116876,124932,9,19.04
18,141165,224846,24,6.28
20,20454,84556,28,10.8
22,104725,133459,60,24.58
40,145879,151171,83,21.09
47,37983,40038,116,17.93
67,145993,218495,93,21.75
59,15269,85550,14,6.59
20,113815,184169,82,11.39
46,137035,42607,2,13.38
45,98048,170287,100,10.97
29,126949,5094,115,10.9
29,48745,28504,54,13.68
29,111187,178240,49,12.57
22,19714,55073,17,2.03
19,67907,14907,111,4.44
45,109673,6826,47,12.79
62,119809,233092,80,18.73
68,87909,22943,64,17.36
18,44490,122421,106,2.29
61,120457,155429,73,18.09
54,66813,92811,88,15.55
44,124668,216324,27,5.73
32,78589,75084,14,24.43
28,99747,222575,110,24.0
54,116611,220571,104,16.2
41,138919,199018,3,23.04
40,98488,31407,89,11.92
53,81684,49030,77,4.33
48,47242,59606,50,5.66
68,63592,19058,100,15.06
40,82939,120430,39,22.16
60,21138,41024,52,3.47
33,48740,45676,6,19.4
66,76668,46265,75,22.88
20,39998,240137,64,21.23
32,17115,196696,37,11.25
27,134451,148101,84,7.03
26,92332,36618,93,5.24
68,37545,155839,82,9.5
55,24432,107101,21,10.8
30,47551,19700,32,14.14
34,48676,49416,47,22.44
24,96400,137931,90,3.53
44,48158,204933,34,22.54
55,33505,179502,46,5.68
68,18442,21541,31,3.86
29,94971,247980,36,3.92
49,69676,23152,41,19.63
54,60103,45905,4,18.37
63,42096,107847,61,2.7
50,52175,77578,22,9.68
31,120739,60453,68,15.63
41,57128,92871,75,13.68
61,104732,121378,105,2.83
65,84080,210377,104,3.45
27,81605,116482,29,24.63
49,136306,205235,19,12.99
29,29283,132371,17,8.7
62,117894,215833,9,23.76
34,80842,155601,36,17.44
46,133405,247719,82,23.58
19,63694,245019,109,10.95
52,126468,189916,41,24.89
66,48261,32697,49,5.09
52,112796,93862,110,11.89
30,57508,205005,32,12.54
34,58881,113192,44,14.88
44,98433,77056,14,7.47
66,141756,90952,45,5.1
25,107099,212502,78,9.29
60,76035,121628,97,19.37
35,64341,245749,66,6.59
18,119571,91165,30,23.12
54,95143,192987,71,5.02
40,144260,198089,76,19.67
27,83146,211082,111,9.97
43,22185,243398,9,5.87
33,124756,141990,106,8.9
25,102778,180292,75,5.25
49,138229,69453,55,9.5
65,39659,186976,38,13.1
18,79376,120064,56,19.51
65,27585,142794,25,8.04
39,129306,101986,73,21.24
32,89209,200379,79,15.41
46,103170,193020,107,4.72
55,125111,123496,111,11.8
45,78550,207914,7,10.72
21,142346,228311,7,5.89
42,119328,146915,14,8.7
44,21796,200132,2,21.19
36,149485,178123,90,12.81
23,145946,135965,34,12.67
38,91170,188407,87,14.81
42,23429,103774,8,20.01
38,25966,135870,105,13.43
26,28364,86224,22,10.05
51,49858,107568,65,12.15
54,40334,100669,39,18.7
49,119889,120132,112,16.47
52,16397,68404,67,14.0
35,117521,56480,57,9.56
43,113561,94454,71,12.93
64,46850,185691,2,13.87
30,19608,12546,90,5.07
22,78928,246926,7,18.02
50,64570,121089,93,22.7
36,94295,226898,88,15.81
28,100220,225214,50,12.08
67,139201,209655,20,18.38
24,91623,26363,10,11.87
40,95398,196220,19,17.43
22,31838,174632,119,8.24
42,93710,69705,54,9.58
21,142110,206199,62,16.9
56,19286,104236,82,2.8
45,95849,36153,86,4.55
40,124181,238200,37,24.26
57,23370,177974,2,22.39
38,110786,133837,77,5.2
43,112421,178437,40,16.23
23,102174,72759,34,6.21
19,116836,193450,78,5.03
48,123979,5408,0,23.4
51,123031,10547,98,11.56
55,58831,219130,45,24.86
38,88557,62347,111,12.43
68,24803,109289,95,7.48
61,122151,28601,70,23.41
51,44621,181867,66,24.06
44,20336,159155,39,3.62
51,133997,209686,24,19.21
31,88714,36813,93,7.52
69,27595,156411,11,9.41
35,45611,89398,29,23.46
69,18310,209649,69,6.91
38,61653,171895,22,17.97
63,77079,100013,45,23.41
42,53725,20700,96,7.65
26,33917,207339,84,21.43
63,64622,72249,14,9.05
51,92293,218815,40,23.79
26,97698,30156,59,5.99
38,21775,30847,10,4.02
60,81079,247408,95,24.94
33,56367,213027,52,15.92
35,24122,210302,34,12.51
22,125409,184792,90,22.82
63,63858,186160,99,5.17
43,36106,104829,5,6.86
48,60207,181799,76,5.42
60,25727,122832,94,22.77
22,85075,119456,74,19.52
65,120023,59476,57,15.9
18,122195,66732,3,8.95
32,56396,127594,4,11.75
46,69298,141084,31,9.55
42,118456,82839,84,14.43
55,98958,185430,62,13.26
62,18501,146781,34,5.42
48,101670,58654,48,5.15
42,116394,168478,82,18.36
21,76373,164649,59,17.94
27,134621,16152,90,13.09
40,49590,244473,82,21.47
56,128246,103891,65,7.24
55,84873,134748,99,6.73
18,43232,31428,108,8.11
42,36385,15992,24,16.46
32,122598,37720,50,16.08
21,129087,186437,97,19.4
18,122392,212661,62,8.28
63,131367,98958,28,3.19
31,98361,68723,97,2.1
33,30673,174315,107,18.63
28,101301,7547,88,15.29
23,142379,171499,42,14.1
38,66906,145809,21,5.73
49,117969,87137,113,2.3
63,48444,148021,94,18.0
56,110687,84043,64,2.7
63,30482,211344,53,8.45
45,145762,155287,96,6.82
46,124179,209402,21,14.69
67,27870,75995,91,15.96
39,94209,90450,20,4.4
53,49782,35339,83,19.0
50,120412,172317,110,20.49
32,89167,81328,90,9.25
22,43781,212254,97,23.99
30,129372,179202,114,13.74
19,135677,68859,66,18.39
60,138347,19492,25,5.7
23,133885,118251,77,17.36
65,102860,183580,30,8.95
40,133839,218203,19,9.89
32,109364,162362,52,19.19
23,38061,191116,36,24.26
39,60461,176888,84,8.96
30,67342,140106,4,6.78
68,119122,137513,42,24.05
30,76499,54940,27,19.55
67,106079,141847,0,17.57
54,101117,149373,54,11.31
68,86739,192049,58,5.15
53,107857,116246,54,6.49
26,54964,202860,17,8.75
22,141304,71383,30,17.67
21,42408,98521,82,13.56
27,90988,177473,19,11.19
48,91199,176680,53,10.51
25,40262,43177,83,6.29
41,58627,52651,118,7.74
43,51323,153635,61,6.99
28,62098,100518,41,23.13
23,53120,70443,6,3.36
62,90385,78254,44,14.95
50,78376,220148,100,22.0
44,126504,230831,1,12.26
62,86792,81083,97,19.53
31,53742,68157,69,12.4
41,87228,11916,111,24.73
51,149721,191102,100,6.56
40,67415,239473,14,10.9
44,135897,227376,108,11.11
25,81893,136085,81,15.42
31,60160,23036,10,6.38
25,124535,177433,46,13.14
53,98937,62375,21,19.15
57,110419,137766,73,8.87
38,93853,102934,55,5.79
46,143283,200327,5,10.9
39,82203,90619,109,3.78
57,127690,140731,35,5.97
30,65457,121654,59,8.5
41,57988,239762,33,15.16
38,118903,231802,27,14.83
62,49719,17257,59,7.19
27,149550,53229,117,13.47
26,46158,247240,26,6.3
55,125001,35344,92,7.6
51,104445,231470,21,6.21
18,66379,16605,30,4.06
23,64908,238619,18,7.45
67,111306,13444,60,10.41
50,134065,217005,86,4.81
59,43496,47329,82,4.62
26,62043,210841,101,14.76
26,67140,30533,98,8.01
30,75044,39628,77,4.82
27,124248,183737,109,7.19
56,113431,222240,105,14.24
38,77402,59899,102,2.8
47,133734,249845,99,16.8
40,130385,246145,81,3.34
30,48688,12164,98,12.65
43,103694,131662,51,5.93
18,113682,30510,103,8.92
55,142448,56484,85,23.69
61,29776,182064,86,4.95
32,51281,91846,32,12.19
42,144510,189955,106,20.02
58,122332,63207,117,2.22
28,119532,197417,90,16.63
20,115399,96700,11,5.71
60,66985,56436,78,23.69
22,106796,114622,7,19.77
41,139303,147593,38,21.4
34,47817,67027,57,20.58
37,17176,171941,24,24.11
38,136875,165795,103,7.84
51,77630,116193,22,23.17
27,68761,204423,67,15.41
61,82377,158643,97,17.09
36,50306,156740,115,11.4
69,87121,227371,40,15.53
24,149832,153623,69,11.7
33,139055,176421,22,18.12
31,139435,104698,54,2.63
25,82501,106053,87,5.29
21,126753,32666,116,6.29
56,26029,14872,72,8.95
62,39536,70363,86,21.07
65,86575,228892,45,9.05
43,82020,206806,31,4.55
27,113702,189883,39,21.51
28,15885,101937,29,7.84
60,52938,30737,44,14.45
19,26140,117655,70,23.85
69,66197,29026,106,23.95
35,113255,120576,66,10.32
41,141703,28710,23,8.75
45,93464,75881,44,22.09
56,120130,233628,54,18.88
26,96107,132378,1,14.96
60,78071,76697,104,20.49
23,124780,228779,94,7.44
26,35785,171371,88,9.96
55,26114,224002,111,6.45
32,66203,135910,36,7.13
22,143827,166973,119,22.07
38,81793,234715,85,13.23
33,116822,92125,116,11.39
39,96190,69126,94,6.18
48,149498,45135,69,4.47
21,134569,39115,37,15.27
25,37924,220560,89,4.63
